,u,g,r,i,z,spec_class,redshift,redshift_err
55,19.75371,18.25738,17.32973,16.88961,16.5726,b'GALAXY',0.1171812,2.867689e-05
56,17.99823,17.6965,17.54185,17.39625,17.22874,b'QSO',0.4285848,3.208617e-05
57,19.81425,18.5266,17.86688,17.47517,17.22741,b'GALAXY',0.06800771,1.079048e-05
58,18.77401,16.71831,15.68455,15.18589,14.78844,b'GALAXY',0.06836636,1.505085e-05
59,19.99232,18.69794,18.00713,17.61604,17.43324,b'GALAXY',0.1176502,9.928339e-06
60,17.7902,16.62802,16.15077,15.85967,15.6565,b'GALAXY',0.04806982,7.086142e-06
61,19.9336,19.65499,19.53989,19.27233,19.19391,b'QSO',1.634582,0.0005803638
62,18.36716,16.15226,15.06507,14.51372,14.05285,b'GALAXY',0.02725771,1.432335e-05
63,19.53237,17.64661,16.59679,16.07399,15.67989,b'GALAXY',0.05667758,1.796223e-05
64,19.96998,17.97528,16.9376,16.46854,16.11918,b'GALAXY',0.1052944,2.641232e-05
65,17.92471,16.89563,16.34107,16.06352,15.82847,b'GALAXY',0.0244775,4.412939e-06
66,19.35062,17.90006,17.33493,16.98621,16.73307,b'GALAXY',0.08144762,1.30956e-05
67,18.87871,17.66926,17.05803,16.73153,16.41729,b'GALAXY',0.0277606,4.911111e-06
68,19.73521,18.2289,17.22315,16.72837,16.38519,b'GALAXY',0.1854784,1.735127e-05
69,19.51914,18.35248,17.83754,17.54294,17.34665,b'GALAXY',0.05574461,1.42204e-05
70,19.36918,18.02738,17.53441,17.23723,17.04132,b'GALAXY',0.05533386,5.40396e-06
71,17.91883,16.78357,16.36801,16.02861,15.8854,b'GALAXY',0.05555231,6.571008e-06
72,18.46837,17.05451,16.43692,16.05719,15.81721,b'GALAXY',0.05591223,8.902135e-06
73,18.42238,18.22688,18.16234,18.02632,17.98409,b'QSO',1.92721,0.0003920758
74,19.49664,18.28441,17.72901,17.33362,17.14402,b'GALAXY',0.05762954,7.756537e-06
75,18.75865,17.75045,17.3277,17.0813,16.96067,b'GALAXY',0.02796681,3.621608e-06
76,17.87721,16.59167,15.95641,15.56669,15.33162,b'GALAXY',0.05804155,9.265631e-06
77,18.25661,17.47846,17.03543,16.51574,16.53835,b'GALAXY',0.1067022,4.322444e-06
78,19.83351,18.12701,17.31176,16.89281,16.5676,b'GALAXY',0.1084039,1.593983e-05
79,18.02971,16.8872,16.42735,16.15031,15.96064,b'GALAXY',0.0286315,6.309466e-06
80,18.91756,17.30178,16.46264,15.98732,15.63404,b'GALAXY',0.02809832,1.384271e-05
81,19.78039,17.85726,16.89594,16.46699,16.09876,b'GALAXY',0.07942327,2.034813e-05
82,19.38903,18.33714,17.6864,17.27947,17.02616,b'GALAXY',0.1327327,6.144829e-06
83,19.39457,18.11488,17.46252,17.07111,16.83985,b'GALAXY',0.05537476,6.243855e-06
84,18.86985,17.91304,17.55133,17.18573,17.09064,b'GALAXY',0.05902028,5.924683e-06
85,18.83757,17.12259,16.36792,15.90656,15.59752,b'GALAXY',0.05877787,7.546178e-06
86,18.85786,16.96216,16.00313,15.49234,15.12086,b'GALAXY',0.05765377,1.710475e-05
87,19.56508,18.07842,17.59711,17.30647,17.1456,b'GALAXY',0.05813755,8.304068e-06
88,18.20337,16.35203,15.42559,14.97615,14.64996,b'GALAXY',0.05805147,1.12493e-05
89,16.85358,15.63081,15.09907,14.80041,14.57816,b'GALAXY',0.03223962,9.880965e-06
90,19.89565,19.47152,19.30395,18.9986,19.01006,b'QSO',1.597835,0.0005849566
91,19.91665,17.79408,16.81001,16.37159,15.9891,b'GALAXY',0.08652647,2.053059e-05
92,19.52551,18.07914,17.3061,16.86974,16.54156,b'GALAXY',0.1330015,1.698382e-05
93,18.91944,17.80179,17.39375,17.17265,17.08438,b'GALAXY',0.02452652,5.443688e-06
94,19.28122,17.97229,17.63551,17.44405,17.41145,b'GALAXY',0.02442459,9.539374e-06
95,19.93156,18.41355,17.53808,17.08871,16.76065,b'GALAXY',0.1362663,8.080843e-06
96,19.22342,19.01674,18.70262,18.65875,18.62971,b'QSO',1.227615,0.0003268497
97,19.65012,17.86629,16.91098,16.4399,16.10986,b'GALAXY',0.09119939,1.566725e-05
98,19.9877,18.14825,17.21663,16.71256,16.31961,b'GALAXY',0.08569978,1.2234e-05
